,frame,x,y
0,0,2844,1619
1,0,2966,1523
2,0,2815,1527
3,0,2752,1445
4,0,2327,1397
5,0,1532,1381
6,0,2979,1291
7,0,1540,1291
8,0,1434,1256
9,0,2909,1196
10,0,1437,680
11,1,2844,1619
12,1,2815,1528
13,1,2965,1519
14,1,2754,1447
15,1,2324,1395
16,1,1529,1379
17,1,1613,1307
18,1,1541,1293
19,1,2979,1292
20,1,1432,1256
21,1,2495,1202
22,1,2911,1200
23,1,1439,681
24,2,2843,1621
25,2,2816,1528
26,2,2965,1519
27,2,2757,1448
28,2,2322,1394
29,2,1529,1378
30,2,1614,1307
31,2,1543,1295
32,2,2980,1293
33,2,1431,1256
34,2,2496,1203
35,2,2912,1201
36,3,2843,1621
37,3,2817,1528
38,3,2966,1521
39,3,2758,1449
40,3,2319,1392
41,3,1616,1307
42,3,1544,1294
43,3,2981,1294
44,3,1431,1256
45,3,2500,1202
46,3,2914,1203
47,4,2841,1624
48,4,2817,1528
49,4,2966,1522
50,4,2760,1451
51,4,2320,1390
52,4,1532,1381
53,4,1616,1307
54,4,2985,1297
55,4,1545,1294
56,4,1435,1254
57,4,2918,1209
58,4,1439,685
59,5,2819,1529
60,5,2967,1522
61,5,2761,1451
62,5,2319,1391
63,5,1617,1307
64,5,2987,1298
65,5,1546,1292
66,5,1434,1254
67,5,2920,1210
68,5,1439,683
69,6,2821,1531
70,6,2969,1523
71,6,2764,1454
72,6,2320,1391
73,6,1533,1382
74,6,2987,1299
75,6,1547,1292
76,6,1435,1253
77,6,2922,1211
78,6,1440,682
79,7,2941,1839
80,7,2841,1623
81,7,2823,1534
82,7,2969,1524
83,7,2766,1455
84,7,2318,1389
85,7,2981,1295
86,7,1547,1291
87,7,1429,1254
88,7,2923,1212
89,7,1442,680
90,8,2941,1839
91,8,2823,1534
92,8,2969,1524
93,8,2768,1456
94,8,2316,1388
95,8,2983,1296
96,8,1547,1291
97,8,1430,1253
98,8,2925,1214
99,8,1443,678
100,9,2941,1838
101,9,2826,1535
102,9,2969,1525
103,9,2769,1457
104,9,2318,1388
105,9,1532,1383
106,9,1619,1305
107,9,2983,1295
108,9,1547,1290
109,9,1429,1253
110,9,2926,1215
111,9,1444,677
112,10,2828,1538
113,10,2969,1525
114,10,2769,1458
115,10,1532,1383
116,10,2310,1385
117,10,1619,1305
118,10,2983,1295
119,10,1548,1292
120,10,1433,1252
121,10,2928,1217
122,10,1445,675
123,11,2938,1837
124,11,2830,1539
125,11,2970,1526
126,11,2771,1459
127,11,2346,1438
128,11,2423,1408
129,11,2310,1384
130,11,1619,1302
131,11,2986,1295
132,11,1433,1253
133,11,2930,1219
134,11,1446,674
135,12,2830,1541
136,12,2971,1527
137,12,2773,1462
138,12,2346,1439
139,12,2425,1408
140,12,2309,1384
141,12,1620,1301
142,12,2989,1298
143,12,1431,1253
144,12,2932,1220
145,12,1447,675
146,13,2832,1542
147,13,2971,1529
148,13,2774,1463
149,13,2346,1440
150,13,2423,1408
151,13,2309,1384
152,13,1620,1301
153,13,1429,1252
154,13,2933,1221
155,13,2899,1165
156,13,1448,675
157,14,2839,1626
158,14,2834,1543
159,14,2971,1529
160,14,2795,1480
161,14,2774,1464
162,14,2347,1439
163,14,2424,1407
164,14,2304,1378
165,14,1621,1301
166,14,2936,1223
167,14,2494,1200
168,14,2898,1164
169,14,1449,675
170,15,2833,1543
171,15,2972,1530
172,15,2798,1481
173,15,2776,1464
174,15,2346,1439
175,15,2425,1405
176,15,2303,1377
177,15,1622,1301
178,15,2938,1225
179,15,2494,1200
180,15,1450,675
181,16,2834,1544
182,16,2972,1531
183,16,2800,1482
184,16,2776,1464
185,16,2346,1438
186,16,2426,1403
187,16,2300,1373
188,16,1622,1301
189,16,2939,1226
190,16,2495,1205
191,16,1451,675
192,17,2941,1841
193,17,2836,1545
194,17,2972,1531
195,17,2800,1483
196,17,2777,1465
197,17,2426,1403
198,17,2299,1370
199,17,1623,1301
200,17,2940,1227
201,17,2496,1204
202,17,1452,675
203,18,2941,1841
204,18,2837,1545
205,18,2972,1532
206,18,2802,1485
207,18,2428,1402
208,18,2303,1377
209,18,1622,1299
210,18,2941,1228
211,18,2496,1203
212,18,1455,675
213,19,2847,1550
214,19,2972,1532
215,19,2802,1487
216,19,2345,1437
217,19,2428,1400
218,19,2302,1377
219,19,2941,1229
220,19,2496,1203
221,19,1455,676
222,20,2943,1841
223,20,2844,1549
224,20,2972,1533
225,20,2803,1489
226,20,2347,1436
227,20,2432,1397
228,20,2301,1375
229,20,1626,1303
230,20,2941,1229
231,20,2496,1202
232,20,1456,676
233,21,2844,1548
234,21,2973,1535
235,21,2804,1492
236,21,2347,1437
237,21,2435,1396
238,21,2300,1374
239,21,1625,1303
240,21,1419,1251
241,21,2942,1230
242,21,2498,1201
243,21,1457,678
244,22,2943,1842
245,22,2845,1548
246,22,2804,1493
247,22,2347,1437
248,22,2433,1396
249,22,2296,1366
250,22,1626,1304
251,22,1419,1252
252,22,2943,1231
253,22,1458,679
254,23,2944,1842
255,23,2857,1554
256,23,2977,1539
257,23,2805,1494
258,23,2347,1437
259,23,2436,1393
260,23,2294,1363
261,23,1627,1304
262,23,1419,1251
263,23,2943,1231
264,23,1459,681
265,24,2860,1555
266,24,2977,1540
267,24,2806,1495
268,24,2347,1439
269,24,2438,1393
270,24,2292,1360
271,24,1627,1303
272,24,1418,1252
273,24,2940,1227
274,24,1459,681
275,25,2863,1556
276,25,2978,1540
277,25,2808,1497
278,25,2346,1442
279,25,2438,1392
280,25,2290,1359
281,25,1628,1304
282,25,1418,1252
283,25,2943,1231
284,26,2871,1561
285,26,2981,1542
286,26,2809,1500
287,26,2346,1443
288,26,2440,1391
289,26,2289,1358
290,26,1628,1304
291,26,2949,1238
292,27,2871,1561
293,27,2812,1503
294,27,2346,1444
295,27,2442,1391
296,27,2286,1353
297,27,1629,1304
298,27,2951,1240
299,27,2494,1196
300,28,2873,1562
301,28,2813,1505
302,28,2347,1444
303,28,2444,1390
304,28,2284,1352
305,28,1630,1304
306,28,2498,1197
307,29,2873,1563
308,29,2980,1543
309,29,2815,1508
310,29,2347,1444
311,29,2445,1389
312,29,2281,1351
313,29,1631,1304
314,29,2498,1197
315,30,2937,1841
316,30,2874,1564
317,30,2818,1513
318,30,2347,1444
319,30,2449,1390
320,30,2280,1349
321,30,1631,1304
322,30,2499,1197
323,31,2937,1840
324,31,2875,1564
325,31,2820,1515
326,31,2450,1388
327,31,2279,1350
328,31,1631,1304
329,31,2499,1197
330,31,330,1012
331,31,164,478
332,31,258,194
333,32,2942,1842
334,32,2876,1565
335,32,2821,1518
336,32,2452,1387
337,32,2278,1350
338,32,1632,1303
339,32,2498,1197
340,33,2877,1565
341,33,2824,1523
342,33,2455,1386
343,33,2280,1349
344,33,1631,1304
345,33,2499,1198
346,33,1461,678
347,34,2877,1565
348,34,2825,1525
349,34,2458,1384
350,34,2278,1350
351,34,2500,1198
352,34,1461,678
353,35,2940,1841
354,35,2880,1567
355,35,2826,1526
356,35,2460,1382
357,35,2274,1348
358,36,2940,1841
359,36,2881,1568
360,36,2827,1528
361,36,2463,1382
362,36,2273,1349
363,36,1457,661
364,37,2941,1841
365,37,2883,1570
366,37,2829,1531
367,37,2466,1381
368,37,2272,1350
369,37,1457,661
370,38,2942,1842
371,38,2883,1570
372,38,2982,1542
373,38,2826,1529
374,38,2468,1381
375,38,2272,1350
376,38,1456,661
377,39,2942,1842
378,39,2882,1568
379,39,2831,1533
380,39,2356,1443
381,39,2469,1381
382,39,2262,1348
383,39,1456,661
384,40,2943,1842
385,40,2897,1585
386,40,2833,1533
387,40,2472,1381
388,40,2452,1226
389,40,1455,662
390,41,2943,1842
391,41,2896,1584
392,41,2982,1542
393,41,2834,1534
394,41,2358,1444
395,41,2473,1380
396,41,2257,1346
397,41,2452,1226
398,42,2941,1843
399,42,2897,1584
400,42,2836,1535
401,42,2357,1444
402,42,2478,1378
403,42,2257,1346
404,43,2946,1844
405,43,2898,1585
406,43,2838,1536
407,43,2357,1444
408,43,2481,1377
409,43,2256,1345
410,44,2949,1844
411,44,2898,1586
412,44,2863,1555
413,44,2985,1543
414,44,2839,1539
415,44,2356,1445
416,44,2485,1375
417,44,2253,1343
418,44,2159,1309
419,45,2948,1844
420,45,2899,1588
421,45,2865,1556
422,45,2984,1542
423,45,2840,1542
424,45,2356,1445
425,45,2487,1375
426,45,2251,1343
427,45,2158,1307
428,45,2449,1226
429,46,2952,1844
430,46,2,1807
431,46,2903,1591
432,46,2866,1556
433,46,2842,1543
434,46,2358,1448
435,46,2495,1371
436,46,2249,1342
437,46,2158,1306
438,47,2954,1844
439,47,2,1807
440,47,2903,1591
441,47,2858,1552
442,47,2357,1448
443,47,2498,1371
444,47,2249,1343
445,47,2158,1306
446,48,2955,1843
447,48,2,1807
448,48,2906,1593
449,48,2869,1558
450,48,2359,1448
451,48,2500,1370
452,48,2251,1344
453,48,2158,1305
454,49,2955,1844
455,49,1,1805
456,49,2871,1559
457,49,2501,1370
458,49,2240,1339
459,50,2956,1844
460,50,1,1805
461,50,2872,1560
462,50,2503,1371
463,50,2238,1339
464,50,2161,1313
465,50,2454,1232
466,51,2959,1843
467,51,2872,1561
468,51,2511,1372
469,51,2242,1339
470,51,1624,1311
471,51,2160,1311
472,51,2457,1234
473,52,2960,1841
474,52,2870,1561
475,52,2508,1371
476,52,2241,1339
477,52,1624,1311
478,52,2159,1308
479,52,1452,663
480,53,2960,1841
481,53,2866,1558
482,53,2506,1371
483,53,2240,1338
484,53,1624,1311
485,53,2159,1309
486,53,2071,855
487,54,2868,1559
488,54,2516,1372
489,54,2232,1340
490,54,1623,1313
491,54,2159,1305
492,54,2071,855
493,54,1451,664
494,55,2868,1558
495,55,2518,1373
496,55,1623,1313
497,55,2157,1303
498,55,2072,855
499,56,2967,1839
500,56,2519,1373
501,56,2154,1299
502,56,2075,852
503,57,2967,1839
504,57,2522,1372
505,57,2152,1299
506,57,2071,855
507,58,2524,1372
508,58,2228,1339
509,58,2151,1298
510,58,1458,1275
511,59,2524,1372
512,59,2224,1339
513,59,2151,1298
514,59,1458,1275
515,59,1447,662
516,60,2528,1372
517,60,2223,1338
518,60,2151,1297
519,60,1457,1276
520,60,2078,850
521,60,1447,662
522,61,2530,1372
523,61,2221,1337
524,61,2149,1297
525,61,1457,1276
526,61,2078,850
527,61,1447,663
528,62,2531,1372
529,62,2224,1338
530,62,1461,1277
531,62,2461,1235
532,62,2078,850
533,62,1446,662
534,63,2538,1373
535,63,2222,1337
536,63,1628,1310
537,63,1463,1278
538,63,2462,1235
539,63,2079,849
540,63,1445,662
541,64,2541,1374
542,64,2220,1337
543,64,1628,1310
544,64,1463,1278
545,64,2076,854
546,64,1441,661
547,65,2926,1613
548,65,2357,1443
549,65,2543,1374
550,65,2215,1333
551,65,1629,1310
552,65,1457,1275
553,65,2075,854
554,65,1440,661
555,66,2927,1614
556,66,2546,1375
557,66,2212,1331
558,66,1628,1310
559,66,1459,1276
560,67,2928,1614
561,67,2557,1378
562,67,2207,1331
563,67,1628,1311
564,67,1460,1276
565,68,2928,1614
566,68,2558,1378
567,68,2206,1330
568,68,1629,1310
569,68,2073,853
570,69,2928,1614
571,69,2560,1378
572,69,2203,1327
