,Unnamed: 0,frame,x,y
0,0,0,2844,1619
10,10,0,1437,680
9,9,0,2909,1196
7,7,0,1540,1291
6,6,0,2979,1291
8,8,0,1434,1256
4,4,0,2327,1397
3,3,0,2752,1445
2,2,0,2815,1527
1,1,0,2966,1523
5,5,0,1532,1381
19,19,1,2979,1292
23,23,1,1439,681
22,22,1,2911,1200
21,21,1,2495,1202
20,20,1,1432,1256
18,18,1,1541,1293
14,14,1,2754,1447
16,16,1,1529,1379
15,15,1,2324,1395
13,13,1,2965,1519
12,12,1,2815,1528
11,11,1,2844,1619
17,17,1,1613,1307
31,31,2,1543,1295
35,35,2,2912,1201
34,34,2,2496,1203
33,33,2,1431,1256
32,32,2,2980,1293
30,30,2,1614,1307
25,25,2,2816,1528
28,28,2,2322,1394
27,27,2,2757,1448
26,26,2,2965,1519
24,24,2,2843,1621
29,29,2,1529,1378
46,46,3,2914,1203
45,45,3,2500,1202
44,44,3,1431,1256
43,43,3,2981,1294
42,42,3,1544,1294
41,41,3,1616,1307
39,39,3,2758,1449
38,38,3,2966,1521
37,37,3,2817,1528
36,36,3,2843,1621
40,40,3,2319,1392
54,54,4,2985,1297
57,57,4,2918,1209
56,56,4,1435,1254
55,55,4,1545,1294
53,53,4,1616,1307
58,58,4,1439,685
51,51,4,2320,1390
47,47,4,2841,1624
48,48,4,2817,1528
52,52,4,1532,1381
50,50,4,2760,1451
49,49,4,2966,1522
67,67,5,2920,1210
66,66,5,1434,1254
65,65,5,1546,1292
64,64,5,2987,1298
68,68,5,1439,683
62,62,5,2319,1391
61,61,5,2761,1451
60,60,5,2967,1522
59,59,5,2819,1529
63,63,5,1617,1307
78,78,6,1440,682
77,77,6,2922,1211
76,76,6,1435,1253
75,75,6,1547,1292
74,74,6,2987,1299
73,73,6,1533,1382
71,71,6,2764,1454
69,69,6,2821,1531
72,72,6,2320,1391
70,70,6,2969,1523
89,89,7,1442,680
85,85,7,2981,1295
88,88,7,2923,1212
87,87,7,1429,1254
86,86,7,1547,1291
84,84,7,2318,1389
82,82,7,2969,1524
81,81,7,2823,1534
80,80,7,2841,1623
79,79,7,2941,1839
83,83,7,2766,1455
99,99,8,1443,678
98,98,8,2925,1214
97,97,8,1430,1253
96,96,8,1547,1291
95,95,8,2983,1296
93,93,8,2768,1456
92,92,8,2969,1524
91,91,8,2823,1534
90,90,8,2941,1839
94,94,8,2316,1388
107,107,9,2983,1295
111,111,9,1444,677
110,110,9,2926,1215
109,109,9,1429,1253
108,108,9,1547,1290
106,106,9,1619,1305
100,100,9,2941,1838
104,104,9,2318,1388
103,103,9,2769,1457
102,102,9,2969,1525
101,101,9,2826,1535
105,105,9,1532,1383
119,119,10,1548,1292
122,122,10,1445,675
121,121,10,2928,1217
120,120,10,1433,1252
118,118,10,2983,1295
113,113,10,2969,1525
116,116,10,2310,1385
115,115,10,1532,1383
114,114,10,2769,1458
117,117,10,1619,1305
112,112,10,2828,1538
133,133,11,2930,1219
132,132,11,1433,1253
131,131,11,2986,1295
130,130,11,1619,1302
129,129,11,2310,1384
134,134,11,1446,674
127,127,11,2346,1438
126,126,11,2771,1459
125,125,11,2970,1526
124,124,11,2830,1539
123,123,11,2938,1837
128,128,11,2423,1408
145,145,12,1447,675
144,144,12,2932,1220
143,143,12,1431,1253
142,142,12,2989,1298
141,141,12,1620,1301
139,139,12,2425,1408
138,138,12,2346,1439
137,137,12,2773,1462
136,136,12,2971,1527
135,135,12,2830,1541
140,140,12,2309,1384
153,153,13,1429,1252
156,156,13,1448,675
155,155,13,2899,1165
154,154,13,2933,1221
152,152,13,1620,1301
146,146,13,2832,1542
150,150,13,2423,1408
149,149,13,2346,1440
148,148,13,2774,1463
147,147,13,2971,1529
151,151,13,2309,1384
169,169,14,1449,675
168,168,14,2898,1164
167,167,14,2494,1200
166,166,14,2936,1223
165,165,14,1621,1301
164,164,14,2304,1378
163,163,14,2424,1407
161,161,14,2774,1464
160,160,14,2795,1480
159,159,14,2971,1529
158,158,14,2834,1543
157,157,14,2839,1626
162,162,14,2347,1439
177,177,15,1622,1301
179,179,15,2494,1200
178,178,15,2938,1225
180,180,15,1450,675
176,176,15,2303,1377
172,172,15,2798,1481
174,174,15,2346,1439
173,173,15,2776,1464
171,171,15,2972,1530
170,170,15,2833,1543
175,175,15,2425,1405
191,191,16,1451,675
190,190,16,2495,1205
189,189,16,2939,1226
188,188,16,1622,1301
187,187,16,2300,1373
186,186,16,2426,1403
185,185,16,2346,1438
184,184,16,2776,1464
183,183,16,2800,1482
182,182,16,2972,1531
181,181,16,2834,1544
202,202,17,1452,675
200,200,17,2940,1227
199,199,17,1623,1301
198,198,17,2299,1370
197,197,17,2426,1403
201,201,17,2496,1204
195,195,17,2800,1483
194,194,17,2972,1531
193,193,17,2836,1545
192,192,17,2941,1841
196,196,17,2777,1465
211,211,18,2496,1203
210,210,18,2941,1228
209,209,18,1622,1299
208,208,18,2303,1377
212,212,18,1455,675
206,206,18,2802,1485
205,205,18,2972,1532
204,204,18,2837,1545
203,203,18,2941,1841
207,207,18,2428,1402
221,221,19,1455,676
220,220,19,2496,1203
219,219,19,2941,1229
218,218,19,2302,1377
217,217,19,2428,1400
215,215,19,2802,1487
214,214,19,2972,1532
213,213,19,2847,1550
216,216,19,2345,1437
229,229,20,1626,1303
232,232,20,1456,676
231,231,20,2496,1202
230,230,20,2941,1229
228,228,20,2301,1375
224,224,20,2972,1533
226,226,20,2347,1436
225,225,20,2803,1489
227,227,20,2432,1397
223,223,20,2844,1549
222,222,20,2943,1841
